,,,,,,,
Частные блага,Инструментальные,Повышение уровня знаний,Вдохновение,Расширение участия,Расширенная способность к сопереживанию,Развитие партнерств,Создание социальных связей
Частные блага с общественным эффектом,Внутренние,Улучшенные навыки коммуникации,Удовольствие,Повышение самоэффективности,Расширенная способность к саморефлексии,Содействие развитию сообщества,Проявление общественной значимости
Общественные блага,,,Достоинство,Повышение навыков обучения,Когнитивный рост,Вклад в экономику региона,Капитализация культурных организаций и проектов
,,,,,Формирование идентичности,Развитие социального капитала,Сохранение наследия
,,,,,Возможность отвлечения от повседневных забот,,
